,H,B,tw,tf,A,Z
2444,450,350,16,22,21896,3533825.576
2445,450,350,16,25,23900,3895462.963
2446,450,350,16,28,25904,4246412.35
2447,450,350,16,32,28576,4697996.184
2448,450,350,16,36,31248,5131244.16
2449,450,350,16,40,33920,5546536.296
2451,450,350,19,12,16494,2335016.72
2452,450,350,19,16,19142,2858995.114
2453,450,350,19,19,21128,3239044.901
2454,450,350,19,22,23114,3608184.927
2455,450,350,19,25,25100,3966574.074
2456,450,350,19,28,27086,4314371.221
2457,450,350,19,32,29734,4761898.913
2458,450,350,19,36,32382,5191255.44
2459,450,350,19,40,35030,5602817.407
2461,450,350,22,12,17772,2420915.36
2462,450,350,22,16,20396,2940144.705
2463,450,350,22,19,22364,3316749.932
2464,450,350,22,22,24332,3682544.279
2465,450,350,22,25,26300,4037685.185
2466,450,350,22,28,28268,4382330.092
2467,450,350,22,32,30892,4825801.641
2468,450,350,22,36,33516,5251266.72
2469,450,350,22,40,36140,5659098.519
2511,450,400,9,12,13434,2304543.92
2512,450,400,9,16,16562,2923503.292
2513,450,400,9,19,18908,3372444.279
2514,450,400,9,22,21254,3808497.905
2515,450,400,9,25,23600,4231851.852
2516,450,400,9,28,25946,4642693.799
2517,450,400,9,32,29074,5171344.335
2518,450,400,9,36,32202,5678529.84
2519,450,400,9,40,35330,6164695.185
2521,450,400,12,12,14712,2390442.56
2522,450,400,12,16,17816,3004652.883
2523,450,400,12,19,20144,3450149.31
2524,450,400,12,22,22472,3882857.256
2525,450,400,12,25,24800,4302962.963
2526,450,400,12,28,27128,4710652.67
2527,450,400,12,32,30232,5235247.064
2528,450,400,12,36,33336,5738541.12
2529,450,400,12,40,36440,6220976.296
2531,450,400,14,12,15564,2447708.32
2532,450,400,14,16,18652,3058752.61
2533,450,400,14,19,20968,3501952.664
2534,450,400,14,22,23284,3932430.157
2535,450,400,14,25,25600,4350370.37
2536,450,400,14,28,27916,4755958.584
2537,450,400,14,32,31004,5277848.883
